Username,location,date,content,Rating
Dina Napoleon,US,"Jul 22, 2021Verified","I was extremely happy with my productI was extremely happy with my product. I couldn’t find the mini chandelier anywhere. I called Amalfi direct and I received the chandelier in 6 days. The woman I spoked to was very helpful. I would order from them direct again.Date of experience: July 22, 2021",5
Corinne Narra,US,"Feb 25, 2022Verified","Item arrived damaged twiceItem arrived damaged when ordered through Walmart. Ordered again direct and it arrived damaged again.Date of experience: February 25, 2022",1
Veronica C,US,"Apr 12, 2021Verified","Simply BeautifulI just love my stands they are even more beautiful in person than on the website.  I can’t wait to use them next month on my wedding day.  Thank you so much for my beautiful standsDate of experience: April 12, 2021",5
Cecile,US,"Oct 7, 2020Verified","Beautiful Cake Stand!Quick deliver, good value and quality, and a beautiful wedding cake stand!  Will be using it in 2 weeks.Date of experience: October 07, 2020",5
Syl,US,"Apr 18, 2021Verified","Super happyI'm glad I purchased a few stands from Amalfi. They're made with s thick material and shine beautifully.Date of experience: April 18, 2021",5
F. Jiddawy,CA,"May 18, 2022Verified","I never received my order for months…I never received my order for months after I ordered. I had messaged on instagram, on email and there was no reply. I feel scammed.Date of experience: May 18, 2022",1
Roche L,PH,"Nov 21, 2020","Ordered this very sophisticated crystal…Ordered this very sophisticated crystal orb chandelier at $174. The packaging was safe and the item was intact. ThanksDate of experience: November 21, 2020",5
Megan H,US,"Dec 7, 2020Verified","I received my order quickly and the…I received my order quickly and the cake stand is beautiful and sturdy! I highly recommend and will order more in the future.Date of experience: December 07, 2020",5
Stacy Wimbley,US,"Dec 11, 2021Verified","So glad I purchased!I have wanted to purchase a cake stand for awhile and finally did this year after Thanksgiving.  It shipped quick and is beautiful!Date of experience: December 11, 2021",5
The Sweet Chase,CA,"Mar 29, 2021Verified","Rose gold StandI’ve always wanted an Amalfi stand. Decided to jump on it and purchase. My order was placed on March 21st and I received by a March 24th. Fast service and I’m very happy with my purchase. Now to get the other colors when they are back in stockDate of experience: March 29, 2021",5
Monica Lopez,US,"May 12, 2021Verified","In loveI had these beautiful vases on my list for a while. Every time, I would want to purchase they were sold out. I was very lucky to have found them and purchased 2 sets. They are very elegant and very good quality. I will be using them for candy tables. 💕😁Date of experience: May 12, 2021",5
Debra,US,"Oct 14, 2020Verified","Elegant cake plateWe received this beautiful cake plate in a timely manner. It’s gorgeous and can’t wait to see our wedding cake on it!Date of experience: October 14, 2020",5
Mo,US,"Dec 4, 2020Verified","Beautiful!The modern cake stands are beautifully simple and lovely.  I purchased both 8"" and 12"".  The packing was amazing and they arrived quickly!  Love them!!Date of experience: December 04, 2020",5
Jen Johnson,US,"Feb 22, 2021Verified","Our first cake plateau…Ordered our first cake plateau for our inventory. The experience was easy and quick. The quality is fantastic.Date of experience: February 22, 2021",5
Athena Bentley,US,"Oct 16, 2020Verified","I am very happy with my beautiful cake…A very Happy Customer!😊I am very happy with my beautiful cake stands and will come back for more products. The prices were good too! I have a Mobile TeaParTea and Wedding service would love to see other items in that industry. Thank you so much!Date of experience: October 16, 2020",5
Ligia Smith,US,"Mar 12, 2022Verified","Absolutely love this cake stand!!Absolutely love this cake stand!!! It looks even better in person. It’s great quality!! I used at my sons first birthday party and will be able to use it again many times!!Date of experience: March 12, 2022",5
Rutchie Saint-Amour,CA,"Apr 22, 2021Verified","Excellent quality!Excellent quality!! Arrived before the scheduled date! Very well packed! Really worth it!Date of experience: April 22, 2021",5
JESSE,US,"Apr 9, 2021Verified","Won’t be disappointedI’ve been wanting these tiered trays for a while now. They didn’t disappoint. Really good quality and look amazing in our table.Date of experience: April 09, 2021",4
stacey ruszkowski,US,"Apr 17, 2021Verified","I received quality products very…I received quality products very quickly!!I am impressed with how quickly I received my order!!Thank you Amalfi decor!!Date of experience: April 17, 2021",5
Christine ODonnell,US,"Aug 6, 2021Verified","The whole process from ordering to…The whole process from ordering to receiving was very easy. I love the cake stand and love the prompt delivery. Thank youDate of experience: August 06, 2021",5
Mauree Hop,US,"Dec 28, 2020Verified","Arrived in excellent time and…Arrived in excellent time and condition, exactly as described.  Love Love and Love!!!   Thank you!Date of experience: December 28, 2020",5
